source,target,weight
Filius Flitwick,Hermione Granger,40
Fred Weasley,William Weasley,40
Alastor Moody,Severus Snape,39
Bartemius Crouch Senior,Sirius Black,39
Morfin Gaunt,Tom Riddle,39
Harry Potter,Kendra Dumbledore,39
George Weasley,Oliver Wood,39
Garrick Ollivander,Tom Riddle,39
Albus Dumbledore,Rita Skeeter,39
Rita Skeeter,Ronald Weasley,39
Ludovic Bagman,Ronald Weasley,38
Merope Riddle,Tom Riddle,38
Phineas Nigellus Black,Sirius Black,38
Albus Dumbledore,Percy Weasley,38
Filius Flitwick,Ronald Weasley,38
Hermione Granger,Rufus Scrimgeour,37
Borgin,Draco Malfoy,37
Hermione Granger,Lucius Malfoy,37
Hermione Granger,Seamus Finnigan,37
Alastor Moody,Minerva McGonagall,36
Harry Potter,Zacharias Smith,36
Cornelius Fudge,Hermione Granger,36
Dobby,Lucius Malfoy,36
George Weasley,William Weasley,36
Dolores Umbridge,Draco Malfoy,36
Gilderoy Lockhart,Severus Snape,36
Lily J. Potter,Sirius Black,36
Ginevra Weasley,Nymphadora Tonks,36
Mundungus Fletcher,Ronald Weasley,36
Molly Weasley,Percy Weasley,36
Albus Dumbledore,Prime Minister,36
Draco Malfoy,Pansy Parkinson,36
Angelina Johnson,Fred Weasley,35
Albus Dumbledore,Argus Filch,35
Fleur Delacour,Luna Lovegood,35
Errol,Ronald Weasley,35
Parvati Patil,Ronald Weasley,35
Luna Lovegood,Xenophilius Lovegood,35
Angelina Johnson,Katie Bell,35
Alicia Spinnet,Angelina Johnson,35
Alastor Moody,Igor Karkaroff,35
Dolores Umbridge,Sirius Black,35
Hermione Granger,Parvati Patil,35
Gilderoy Lockhart,Ginevra Weasley,35
Cedric Diggory,Ronald Weasley,35
Ronald Weasley,Rufus Scrimgeour,35
Albus Dumbledore,Olympe Maxime,35
Cormac McLaggen,Hermione Granger,35
Bob Ogden,Morfin Gaunt,34
Corban Yaxley,Harry Potter,34
Harry Potter,Regulus Black,34
Aragog,Rubeus Hagrid,34
Harry Potter,Muriel,34
Harry Potter,Nicolas Flamel,34
Remus Lupin,Tom Riddle,34
Bartemius Crouch Senior,Severus Snape,34
Ginevra Weasley,William Weasley,34
Alastor Moody,Winky,34
Nymphadora Tonks,Sirius Black,34
Fred Weasley,Oliver Wood,34
Albus Dumbledore,Godric Gryffindor,33
Bathilda Bagshot,Hermione Granger,33
Argus Filch,Dolores Umbridge,33
Remus Lupin,William Weasley,33
Mundungus Fletcher,Sirius Black,33
Penelope Clearwater,Percy Weasley,33
Dobby,Winky,33
Albus Dumbledore,Rosmerta,33
Minerva McGonagall,Neville Longbottom,33
Gellert Grindelwald,Harry Potter,33
Ginevra Weasley,Horace Slughorn,33
Harry Potter,Mary Cattermole,32
Arcturus Black III,Regulus Black,32
Dolores Umbridge,George Weasley,32
Alastor Moody,Neville Longbottom,32
Dolores Umbridge,Fred Weasley,32
Cornelius Fudge,Severus Snape,32
Remus Lupin,Rubeus Hagrid,32
Harry Potter,Ted,32
Bellatrix Lestrange,Sirius Black,32
Dolores Umbridge,Sybill Trelawney,32
Rubeus Hagrid,Sirius Black,32
Aberforth Dumbledore,Ronald Weasley,31
Olympe Maxime,Ronald Weasley,31
Cornelius Fudge,Minerva McGonagall,31
Albus Dumbledore,Kreacher,31
Bane,Harry Potter,31
Mrs Norris,Ronald Weasley,31
Fred Weasley,Godric Gryffindor,31
Albus Dumbledore,Ginevra Weasley,31
Aberforth Dumbledore,Albus Dumbledore,31
Aragog,Harry Potter,31
Albus Potter,Harry Potter,31
Molly Weasley,Nymphadora Tonks,30
Aberforth Dumbledore,Hermione Granger,30
Hermione Granger,Ludovic Bagman,30
Albus Dumbledore,Fawkes,30
Alastor Moody,Nymphadora Tonks,30
Salazar Slytherin,Tom Riddle,30
Percy Weasley,William Weasley,30
Demelza Robins,Harry Potter,30
Bathilda Bagshot,Godric Gryffindor,30
Godric Gryffindor,Severus Snape,30
Albus Dumbledore,Neville Longbottom,30
Firenze,Hermione Granger,30
Dolores Umbridge,Prime Minister,30
Igor Karkaroff,Olympe Maxime,30
Minerva McGonagall,William Weasley,30
Charles Weasley,Fred Weasley,30
Amos Diggory,Winky,30
Godric Gryffindor,Katie Bell,29
Harry Potter,Marietta Edgecombe,29
Argus Filch,Draco Malfoy,29
James Potter I,Peter Pettigrew,29
James Potter I,Mark Evans,29
Filius Flitwick,Pomona Sprout,29
Arabella Figg,Mundungus Fletcher,29
Gringotts Head Goblin,Harry Potter,29
Horace Slughorn,Severus Snape,29
Hermione Granger,Pansy Parkinson,29
Albus Dumbledore,Marietta Edgecombe,29
Horace Slughorn,Neville Longbottom,29
Albus Dumbledore,Winky,29
Corban Yaxley,Hermione Granger,29
Alicia Spinnet,Katie Bell,29
Blaise Zabini,Horace Slughorn,29
Ginevra Weasley,Godric Gryffindor,29
Harry Potter,Stanley Shunpike,29
Draco Malfoy,Godric Gryffindor,29
Cornelius Fudge,Ronald Weasley,29
Cedric Diggory,Hermione Granger,29
Harry Potter,Marcus Flint,28
Charles Weasley,Percy Weasley,28
Lucius Malfoy,Ronald Weasley,28
Nicolas Flamel,Ronald Weasley,28
Godric Gryffindor,Rowena Ravenclaw,28
Igor Karkaroff,Ronald Weasley,28
Harry Potter,Tofty,28
Bartemius Crouch Senior,Tom Riddle,28
Harry Potter,Roger Davies,28
Lily J. Potter,Mark Evans,28
Padma Patil,Ronald Weasley,28
Albus Dumbledore,Arthur Weasley,27
Bartemius Crouch Senior,Igor Karkaroff,27
Fleur Delacour,Ginevra Weasley,27
Luna Lovegood,Minerva McGonagall,27
Katie Bell,Ronald Weasley,27
George Weasley,Godric Gryffindor,27
Albus Dumbledore,Petunia Dursley,27
Dedalus Diggle,Harry Potter,27
Cuthbert Binns,Harry Potter,27
Alastor Moody,Remus Lupin,27
Harry Potter,Mark Evans,27
Igor Karkaroff,Viktor Krum,27
George Weasley,Rolanda Hooch,27
Eileen Prince,Hermione Granger,27
Minerva McGonagall,Pomona Sprout,27
Dolores Umbridge,Rolanda Hooch,26
Harry Potter,Padma Patil,26
Alicia Spinnet,Harry Potter,26
Elphias Doge,Harry Potter,26
Aberforth Dumbledore,Rita Skeeter,26
Albus Dumbledore,Phineas Nigellus Black,26
Cole,Tom Riddle,26
Albus Dumbledore,Nymphadora Tonks,26
Fluffy,Harry Potter,26
Igor Karkaroff,Sirius Black,26
Firenze,Ronald Weasley,26
Arthur Weasley,Sirius Black,26
Cuthbert Binns,Hermione Granger,26
Peeves,Ronald Weasley,26
Minerva McGonagall,Oliver Wood,26
Albus Dumbledore,Fenrir Greyback,26
Harry Potter,Nagini,25
Minerva McGonagall,Sybill Trelawney,25
Molly Weasley,Mundungus Fletcher,25
Cedric Diggory,Tom Riddle,25
Draco Malfoy,Tom Riddle,25
Kreacher,Tom Riddle,25
Ronald Weasley,Vernon Dursley,25
Alastor Moody,Godric Gryffindor,25
Ernest Macmillan,Helga Hufflepuff,25
Godric Gryffindor,Rolanda Hooch,25
Ginevra Weasley,Remus Lupin,25
Draco Malfoy,Sirius Black,25
Godric Gryffindor,Helga Hufflepuff,25
Albus Dumbledore,Viktor Krum,25
Lucius Malfoy,Severus Snape,25
Albus Dumbledore,Bellatrix Lestrange,24
Nagini,Tom Riddle,24
Dudley Dursley,Piers Polkiss,24
Dobby,Kreacher,24
Lily J. Potter,Petunia Dursley,24
Fat Lady,Ronald Weasley,24
Albus Dumbledore,Fred Weasley,24
Harry Potter,Morfin Gaunt,24
Grawp,Hermione Granger,24
Hermione Granger,Olympe Maxime,24
Angelina Johnson,Godric Gryffindor,24
Albus Dumbledore,Lily J. Potter,24
Charles Weasley,Hermione Granger,24
Harry Potter,Will,23
Arthur Weasley,Fred Weasley,23
Lavender Brown,Sybill Trelawney,23
Bogrod,Harry Potter,23
Arthur Weasley,Nymphadora Tonks,23
Hermione Granger,Katie Bell,23
Harry Potter,Travers,23
Borgin,Hermione Granger,23
Albus Dumbledore,Mark Evans,23
Kreacher,Mundungus Fletcher,23
Blast-Ended Skrewt,Harry Potter,23
Fred Weasley,Mundungus Fletcher,23
Ginevra Weasley,Michael Corner,23
Hermione Granger,Salazar Slytherin,23
Lee Jordan,Ronald Weasley,22
Antonin Dolohov,Harry Potter,22
Harper,Harry Potter,22
Hermione Granger,Peeves,22
Errol,Harry Potter,22
Minerva McGonagall,Poppy Pomfrey,22
Bartemius Crouch Senior,Bertha Jorkins,22
Helga Hufflepuff,Rowena Ravenclaw,22
Cadogan,Harry Potter,22
Kingsley Shacklebolt,Remus Lupin,22
Pansy Parkinson,Ronald Weasley,22
Ginevra Weasley,Minerva McGonagall,22
Angelina Johnson,George Weasley,22
Helga Hufflepuff,Ronald Weasley,22
Cho Chang,Dolores Umbridge,22
George Weasley,Remus Lupin,22
Albus Dumbledore,Merope Riddle,22
Bartemius Crouch Senior,Cornelius Fudge,22
Penelope Clearwater,Rowena Ravenclaw,22
Harry Potter,Ignotus Peverell,21
Draco Malfoy,Rolanda Hooch,21
Hermione Granger,Regulus Black,21
Dolores Umbridge,Marietta Edgecombe,21
Albus Dumbledore,Kingsley Shacklebolt,21
Michael Corner,Ronald Weasley,21
Bartemius Crouch Junior,Prime Minister,21
Hermione Granger,Oliver Wood,21
Alastor Moody,Draco Malfoy,21
Dean Thomas,Dolores Umbridge,21
Bertha Jorkins,Harry Potter,21
Lily J. Potter,Tom Riddle,21
Helga Hufflepuff,Salazar Slytherin,21
Bellatrix Lestrange,Neville Longbottom,21
Argus Filch,Rubeus Hagrid,21
Salazar Slytherin,Severus Snape,21
Demelza Robins,Ronald Weasley,21
Fleur Delacour,Roger Davies,21
Bartemius Crouch Senior,Viktor Krum,21
Hermione Granger,Mundungus Fletcher,21
Charles Weasley,George Weasley,21
Harry Potter,Mungo Bonham,21
Cormac McLaggen,Ronald Weasley,21
Albus Dumbledore,Elphias Doge,21
Fat Lady,Hermione Granger,21
Fang,Hermione Granger,20
Cormac McLaggen,Horace Slughorn,20
Nymphadora Tonks,William Weasley,20
Cornelius Fudge,Percy Weasley,20
Percy Weasley,Rowena Ravenclaw,20
Cho Chang,Roger Davies,20
Harry Potter,Rosmerta,20
Dolores Umbridge,Godric Gryffindor,20
Fred Weasley,Sirius Black,20
Lucius Malfoy,Rubeus Hagrid,20
Albus Potter,Ginevra Weasley,20
Prime Minister,Tom Riddle,20
Regulus Black,Tom Riddle,20
Fred Weasley,Rubeus Hagrid,20
Garrick Ollivander,Ronald Weasley,20
Mykew Gregorovitch,Tom Riddle,20
Alicia Spinnet,Fred Weasley,20
Filius Flitwick,Rubeus Hagrid,20
Dolores Umbridge,Mary Cattermole,20
Bartemius Crouch Junior,Herbert Chorley,20
Fred Weasley,Ludovic Bagman,20
Ronald Weasley,Snatchers,20
George Weasley,Mundungus Fletcher,20
Cedric Diggory,Helga Hufflepuff,20
Neville Longbottom,Sirius Black,20
Alastor Moody,Fred Weasley,20
George Weasley,Ludovic Bagman,20
Beedle the Bard,Hermione Granger,20
Prime Minister,Sirius Black,20
Lily J. Potter,Peter Pettigrew,19
Elphias Doge,Muriel,19
Mykew Gregorovitch,Viktor Krum,19
Ginevra Weasley,Rubeus Hagrid,19
Draco Malfoy,Father Christmas,19
Fluffy,Rubeus Hagrid,19
Minerva McGonagall,Sirius Black,19
Hermione Granger,Kingsley Shacklebolt,19
Albus Dumbledore,Morfin Gaunt,19
Hermione Granger,Quirinus Quirrell,19
Filius Flitwick,Severus Snape,19
George Weasley,Kreacher,19
Hermione Granger,Rowena Ravenclaw,19
Cuthbert Binns,Ronald Weasley,19
Hannah Abbott,Harry Potter,19
Hermione Granger,Peter Pettigrew,19
Ernest Macmillan,Ronald Weasley,19
Regulus Black,Sirius Black,19
Aragog,Ronald Weasley,18
Bartemius Crouch Senior,Prime Minister,18
Helga Hufflepuff,Zacharias Smith,18
Cho Chang,Ginevra Weasley,18
Dean Thomas,Fleur Delacour,18
Draco Malfoy,Fenrir Greyback,18
Arthur Weasley,George Weasley,18
Fred Weasley,Katie Bell,18
Crookshanks,Ginevra Weasley,18
Parvati Patil,Sybill Trelawney,18
Hermione Granger,Michael Corner,18
